,Species,Strain,Samples , Ethyl Acetate,Ethanol,"Propanoic acid, ethyl ester",2-Pentanone,Decane,Methyl Isobutyl Ketone,Amylene hydrate,"Butanoic acid, 2-methyl-, methyl ester",Isobutyl acetate,Methyl isovalerate,1-Propanol,Methyl thiolacetate,"Butanoic acid, 2-methyl-, ethyl ester",2-Hexanone,Ethyl isocyanide,"1-Propanol, 2-methyl-","2-Pentanol, 2-methyl-",2-Pentanol,"1-Butanol, 3-methyl-, acetate",1 - Undecene,1-Butanol,2-Heptanone,Dodecane,"1-Butanol, 3-methyl-", S-Methyl 3-methylbutanethioate,"2-Heptanone, 4,6-dimethyl-"," 3-Buten-1-ol, 3-methyl-","Thiocyanic acid, methyl ester",Acetoin,"1-Pentanol, 2-methyl-","Butanoic acid, 3-methyl-, 2-methylbutyl ester","2-Heptanol, 4-methyl-",2-Nonanone ,Acetic acid,2-Nonanol,Pyrrole,"1H-Pyrrole, 2-methyl-","1-Heptanol, 2,4-dimethyl-,",Propanoic acid,"Propanoic acid, 2-methyl-",1-Octanol,2-Undecanone,"Benzoic acid, methyl ester",Butyrolactone ," Decanoic acid, ethyl ester","Acetic acid, decyl ester",2-Undecanol,"Butanoic acid, 3-methyl-",2-Dodecanone,1-Decanol,2-Tridecanone," Dodecanoic acid, ethyl ester","1,4-Butanediol",Phenylethyl Alcohol,"Acetophenone, 2'-amino-",2-Tridecanol,Tetradecanal,1-Dodecanol,Methyl tetradecanoate, 2-Pentadecanone,"Tetradecanoic acid, ethyl ester",Hexadecanal,n-Tridecan-1-ol,1-Tetradecanol,n-Pentadecanol, 1-Hexadecanol,Indole
1,SA,SA_A,SA.A_TSB_A,465374,1027715,0,1289650,800581,324424,73015,0,0,0,0,82772,1019655,0,0,139019,0,0,111465,0,0,56603,0,3097686,0,0,334841,0,375792,0,0,0,0,4016234,0,0,0,0,51090,76990,0,0,0,0,0,0,0,4007188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,SA,SA_A,SA.A_TSB_B,193151,1050974,0,504113,294680,189630,0,0,0,0,0,0,245397,0,0,219733,0,56594,0,0,0,0,0,2130908,0,0,153294,0,102975,0,0,0,0,1565576,0,0,0,0,0,0,0,0,0,0,0,0,0,1691000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,SA,SA_A,SA.A_TSB_C,403286,1850391,0,1169501,15,228163,73558,0,0,0,0,0,494407,0,0,196279,0,124321,0,0,0,85741,0,2769590,0,0,341899,0,173956,0,0,0,0,1952847,0,0,0,0,0,0,0,0,0,0,0,0,0,2140149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,SA,SA_A,SA.A_TSB_D,129833,5140770,0,1926072,124282,0,188367,0,0,0,0,0,2198502,0,0,375976,197683,53549,0,0,0,0,0,5101478,0,0,86222,0,381264,0,0,0,0,11875584,0,0,0,0,111819,0,0,0,0,0,0,0,0,4678421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,SA,SA_A,SA.A_TSB_E,117105,3422557,0,246751,0,0,0,0,0,0,0,0,960937,0,0,93132,66816,0,0,0,0,0,0,2349861,0,0,0,0,233731,0,0,0,0,11024381,0,0,0,0,90520,0,0,0,0,0,0,0,0,3219328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,SA,SA_B,SA.B_TSB_A,316764,914667,0,560337,456376,167165,90157,0,0,0,0,83504,548057,0,0,179831,0,0,0,0,0,0,0,2161779,0,0,145857,0,125300,0,0,0,0,2608354,0,0,0,0,55944,0,0,0,0,0,0,0,0,1719248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,SA,SA_B,SA.B_TSB_B,141636,801684,0,497068,408709,152829,139948,0,0,0,0,51098,287712,0,0,84934,0,0,0,0,0,0,0,2183192,0,0,151117,0,64307,0,0,0,0,2383959,0,0,0,0,51321,0,0,0,0,0,0,0,0,1800911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,SA,SA_B,SA.B_TSB_C,292548,1037912,0,1102211,710674,228457,53152,0,0,0,0,238186,909496,0,0,0,0,0,67248,0,0,65954,0,3366604,0,0,227917,0,182778,0,0,0,0,3143060,0,0,0,0,91806,0,0,0,0,0,0,0,0,2082410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,SA,SA_B,SA.B_TSB_D,0,7091491,0,1336035,470055,0,210357,0,0,0,0,0,2062898,0,0,358759,155158,0,0,0,0,0,0,5448175,0,0,97760,0,619590,0,0,0,0,16982921,0,0,0,0,248716,0,0,0,0,0,0,0,0,5123035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,SA,SA_B,SA.B_TSB_E,588447,8155560,0,1737916,201138,0,295857,0,0,0,0,0,2011638,0,0,427533,0,54860,0,0,0,0,0,6671788,0,0,122040,0,800563,0,0,0,0,21176351,0,0,0,0,364754,0,0,0,0,0,0,0,0,5887513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,SA,SA_A,SA.A_BHI_A,0,3054748,0,832334,0,0,0,0,0,0,0,0,1584145,0,0,376746,0,0,0,0,0,0,0,3663531,0,0,225832,0,4216736,0,0,0,0,3031784,0,0,0,0,0,0,0,0,0,0,0,0,0,2634320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,SA,SA_A,SA.A_BHI_B,0,909704,0,444238,0,0,0,0,0,0,0,87526,223992,0,0,151707,0,0,0,0,0,0,0,908313,0,0,159944,0,2056879,0,0,0,0,1396969,0,0,0,0,0,0,0,0,0,0,0,0,0,1868166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,SA,SA_A,SA.A_BHI_C,0,2419195,0,540199,0,0,0,0,0,0,0,361484,1396163,0,0,371331,0,0,0,0,0,0,0,6978146,0,0,158786,0,769616,0,0,0,0,1430945,0,0,0,0,0,0,0,0,0,0,0,0,0,2294617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,SA,SA_A,SA.A_BHI_D,0,3195134,0,877468,0,0,0,0,0,0,0,218833,1330370,0,0,291548,0,0,0,0,0,0,0,2969470,0,0,209463,0,903640,0,0,0,0,3234400,0,0,0,0,0,0,0,0,0,0,0,0,0,3609299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,SA,SA_A,SA.A_BHI_E,0,1208273,0,371852,0,0,0,0,0,0,0,83403,878070,0,0,79387,0,0,0,0,0,0,0,1670810,0,0,80510,0,1103952,0,0,0,0,1102412,0,0,0,0,0,0,0,0,0,0,0,0,0,1607769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,SA,SA_B,SA.B_BHI_A,0,3077081,0,501780,0,0,0,0,0,0,0,327621,1642725,0,0,474857,0,0,156927,0,0,0,0,7108828,0,0,151643,0,1112605,0,0,0,0,1658255,0,0,0,0,0,0,0,0,0,0,0,0,0,2005000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,SA,SA_B,SA.B_BHI_B,0,1659016,0,397547,0,0,0,0,0,0,0,352289,1285637,0,0,285977,0,0,136592,0,0,0,0,5059320,0,0,144353,0,663436,0,0,0,0,1221426,0,0,0,0,0,0,0,0,0,0,0,0,0,1935396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,SA,SA_B,SA.B_BHI_C,0,376521,0,73257,0,0,0,0,0,0,0,0,183205,0,0,0,0,0,0,0,0,0,0,1473831,0,0,78843,0,502028,0,0,0,0,872402,0,0,0,0,0,0,0,0,0,0,0,0,0,1464647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,SA,SA_B,SA.B_BHI_D,0,1910296,0,523353,0,0,0,0,0,0,0,278677,1134439,0,0,285037,0,0,0,0,0,0,0,5346823,0,0,130274,0,568247,0,0,0,0,1587138,0,0,0,0,59939,0,0,0,0,0,0,0,0,1916645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,SA,SA_B,SA.B_BHI_E,0,1220898,0,500776,0,0,0,0,0,0,0,188055,1013838,0,0,215072,0,0,101554,0,0,0,0,5210015,0,0,124215,0,351127,0,0,0,0,1107698,0,0,0,0,58151,0,0,0,0,0,0,0,0,1770194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,SA,SA_A,SA.A_LB_A,0,0,0,320965,0,68518,0,0,0,0,0,0,0,0,0,53102,0,0,0,0,0,0,0,496920,0,0,0,0,0,0,0,0,0,418770,0,0,0,0,0,0,0,0,0,254746,0,0,0,1351452,0,0,0,0,100676,0,0,0,0,0,0,0,0,0,0,0,0,0,0
